Date,Open,High,Low,Close,Adj Close,Volume
2014-10-07,66.250000,66.250000,65.699997,66.099998,56.610985,11298000
2014-10-08,65.800003,66.050003,65.699997,65.699997,56.268410,8063000
2014-10-09,66.099998,66.449997,65.699997,66.000000,56.525345,14961000
2014-10-13,64.150002,64.550003,63.799999,64.000000,54.812454,19537000
2014-10-14,64.000000,64.599998,64.000000,64.550003,55.283501,12842000
2014-10-15,64.449997,64.800003,63.950001,64.099998,54.898094,14382000
2014-10-16,63.650002,64.349998,63.250000,64.000000,54.812454,24694000
2014-10-17,64.250000,64.400002,63.349998,63.349998,54.255760,15641000
2014-10-20,64.250000,64.599998,63.900002,64.599998,55.326317,10799000
2014-10-21,64.400002,64.550003,64.199997,64.300003,55.069389,7212000
2014-10-22,65.099998,65.449997,65.000000,65.300003,55.925835,9317000
2014-10-23,65.300003,65.300003,65.000000,65.050003,55.711720,7019000
2014-10-24,63.849998,63.849998,62.799999,63.049999,55.316914,22459000
2014-10-27,63.400002,63.450001,63.000000,63.250000,55.492386,8034000
2014-10-28,64.000000,64.349998,64.000000,64.349998,56.457470,11152000
2014-10-29,64.599998,65.000000,64.500000,65.000000,57.027740,9360000
2014-10-30,64.849998,64.949997,64.550003,64.800003,56.852276,9070000
2014-10-31,65.000000,65.300003,64.699997,65.300003,57.290955,16546000
2014-11-03,65.300003,65.900002,65.300003,65.599998,57.554157,10583000
2014-11-04,65.750000,66.050003,65.550003,65.650002,57.598030,10980000
2014-11-05,65.800003,65.849998,65.349998,65.500000,57.466419,10529000
2014-11-06,65.550003,65.699997,64.949997,65.099998,57.115479,21118000
2014-11-07,65.000000,65.250000,64.699997,65.199997,57.203217,10640000
2014-11-10,65.400002,66.300003,65.250000,66.150002,58.036697,16354000
2014-11-11,66.250000,66.349998,65.949997,65.949997,57.861229,15080000
2014-11-12,65.750000,65.849998,64.900002,65.000000,57.027740,18786000
2014-11-13,65.000000,65.650002,65.000000,65.650002,57.598030,10816000
2014-11-14,null,null,null,null,null,null
2014-11-17,66.050003,66.099998,64.800003,65.099998,57.115479,17439000
2014-11-18,null,null,null,null,null,null
2014-11-19,null,null,null,null,null,null
2014-11-20,66.050003,66.699997,66.050003,66.599998,58.431503,20688000
2014-11-21,66.599998,66.800003,66.449997,66.650002,58.475380,11922000
2014-11-24,66.900002,67.199997,66.750000,66.800003,58.606979,13110000
2014-11-25,66.650002,67.050003,66.449997,66.849998,58.650845,13164000
2014-11-26,66.750000,66.900002,66.650002,66.849998,58.650845,8904000
2014-11-27,67.150002,67.849998,67.150002,67.500000,59.221119,16514000
2014-11-28,67.550003,67.699997,67.349998,67.500000,59.221119,9344000
2014-12-01,66.300003,67.449997,66.150002,66.800003,58.606979,21255000
2014-12-02,66.349998,66.500000,65.650002,65.800003,57.729630,19673000
2014-12-03,65.800003,67.000000,65.699997,66.849998,58.650845,10696000
2014-12-04,67.250000,67.449997,67.099998,67.099998,58.870178,11355000
2014-12-05,67.099998,67.099998,66.750000,66.849998,58.650845,4297000
2014-12-08,67.050003,67.050003,66.349998,66.349998,58.212166,7621000
2014-12-09,66.250000,66.300003,66.000000,66.199997,58.080563,4604000
2014-12-10,65.949997,66.150002,65.150002,65.300003,57.290955,12837000
2014-12-11,65.050003,65.349998,64.699997,65.250000,57.247082,6899000
2014-12-12,65.250000,65.500000,65.150002,65.300003,57.290955,4425000
2014-12-15,64.750000,65.099998,64.500000,65.099998,57.115479,10548000
2014-12-16,64.800003,65.000000,64.550003,64.550003,56.632942,12669000
2014-12-17,64.550003,64.550003,63.400002,63.549999,55.755585,19551000
2014-12-18,63.950001,64.099998,63.650002,63.700001,55.887196,8566000
2014-12-19,64.699997,65.300003,64.599998,65.199997,57.203217,17117000
2014-12-22,65.349998,66.000000,65.300003,66.000000,57.905098,7407000
2014-12-23,66.150002,66.300003,65.750000,65.800003,57.729630,5224000
